ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
2019-11,55.2148130833677,53.5042834248543,56.3017803720192,46.3116971754252,72.8506817005175,55.3147021306947,57.4205371568546,53.9180619519668,67.7969314730321,52.974184021805,59.7296768530539,53.7649825837361,63.6430075799277,47.711125887309,53.7801533278292,67.5942159485314,52.4833363913979,63.7526520286241
2019-12,57.2818941018957,55.1798299060985,58.0477168036767,47.4207690855107,74.3994790205441,58.2989716311759,60.6282991871453,56.5988626089323,74.2873640262206,54.2412534893353,60.903036622386,55.5315392074173,65.9430466929374,48.7299775835739,55.7605005316378,70.7074461543905,54.2348987167474,66.6025696325561
2020-01,58.572394987666,57.7624781173279,60.5705638982697,47.9222449807275,74.8724898394469,57.5457197463687,59.4179136813403,57.4330389739604,74.3875285148693,56.9519655690754,61.2266119610133,57.8493638891007,67.9698425690742,50.5022182973008,57.1215777104168,71.5086416437993,55.6368949141593,67.6355872298092
2020-02,59.7518259379838,59.3036033400775,61.3599916310968,49.0662142387275,75.3306925852316,58.7414000026666,59.6817918910415,58.3652299344109,76.1134782035886,58.2096783818942,62.1069713776851,59.6239742591871,69.6282599387137,51.7722328596759,58.4820780098561,72.0110893116237,56.8370770047626,68.7979079696482
2020-03,61.749609502242,61.6360539398125,63.1195409850681,51.1134314522264,76.3649034788409,60.4427444414542,61.2692826132702,59.3131866627983,82.397532305692,59.6631548174594,72.9456490024049,60.9093957192387,71.0487930639436,54.3125806432046,60.3070656397518,74.3732365658883,58.6718540261145,71.2270893701401
2020-04,62.6737372330233,63.5896686848519,64.0043565831969,51.8774922909718,76.3687644072851,61.1874678787568,61.9917035866194,60.1069996553251,79.0232533347298,61.0400768053842,71.8739039954757,61.8250196179936,71.1675393871674,56.9384285602842,61.3417882513587,73.8804931596352,60.0290510530175,71.0949234273494
2020-05,63.6406276973232,64.0221569958157,64.0527932602674,55.7915868785459,76.4511858126692,62.9188437701315,62.6513165170112,60.7393215755629,79.2866665728556,62.5372245450911,71.5741595110705,62.7791273644365,72.5370496014486,59.6057220347642,62.3267401006187,73.817830075678,61.243875747766,71.5406614192451
2020-06,65.0684301008273,64.6892345793379,66.4773789209844,59.5000787627305,77.1549341906038,65.4774588598537,64.0517046121484,61.8481868508448,79.6120325155616,65.1449304371526,71.8386105003728,64.1909491092871,72.778988036525,62.449811382883,63.7696943608606,74.3705471631433,63.0197224437677,72.2007754331477
2020-07,66.3269801918469,65.5211377693193,67.3905892729916,61.4494828333432,77.9464480639031,68.0144698965373,65.4412637343618,62.9834536803,80.1872983035082,67.2874383944065,71.9149407264461,65.4353617633181,74.4644947710744,63.0412221599142,65.3851554360797,74.7541904647098,64.4874304054483,72.9694372881509
2020-08,68.1178818548627,67.7923348257949,68.2678556655438,62.8109822456336,79.7620261225225,70.3664823349829,67.0132268106694,64.7757715725498,80.4243375767757,69.5099654585842,72.4654334589759,66.6579422345261,76.9422732885447,65.5474734541256,67.3684666061511,75.5069318813305,66.599734973154,74.0695398368711
